# h125.osc
# measured 16 Jan 94 with prog/learntune/learnpwr
#  using Anritsu pwr meter (cuts off below 73)
#
# lo_ghz  mmosc  mmbck   vop  lgain   mW   Vop  mmerr
# $Id: h125.tab,v 1.1 2005/04/07 22:14:59 colby Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
 115.000  32531  25276  9.50  5.00   2.12  9.61 -0.07
 114.500  32470  24834  9.50  5.00   2.46  9.59  0.20
 114.000  32403  24501  9.50  5.00   2.36  9.59  0.14
 113.500  32341  24208  9.50  5.00   2.49  9.61  0.03
 113.000  32273  23923  9.50  5.00   2.41  9.62 -0.07
 112.500  32197  23644  9.50  5.00   2.47  9.76 -1.45
 112.000  32136  23383  9.50  5.00   2.55  9.60  0.07
 111.500  32058  23114  9.50  5.00   2.13  9.77 -1.62
 111.000  31999  22876  9.50  5.00   2.11  9.60  0.14
 110.500  31923  22661  9.50  5.00   1.99  9.60  0.10
 110.000  31853  22479  9.50  5.00   1.52  9.60  0.08
 109.500  31776  22337  9.50  5.00   1.79  9.60  0.07
 109.000  31699  22286  9.50  5.00   1.63  9.60  0.09
 108.500  31624  22255  9.50  5.00   1.69  9.60  0.10
 108.000  31540  22230  9.50  5.00   2.31  9.61  0.03
 107.500  31464  22248  9.50  5.00   1.74  9.59  0.18
 107.000  31383  22044  9.50  5.00   2.39  9.61  0.03
 106.500  31298  21723  9.50  5.00   2.32  9.60  0.14
 106.000  31211  21431  9.50  5.00   2.47  9.61  0.06
 105.500  31123  21047  9.50  5.00   3.29  9.59  0.20
 105.000  31031  20812  9.50  5.00   3.14  9.60  0.13
 104.500  30936  20540  9.50  5.00   3.87  9.60  0.10
 104.000  30832  20224  9.50  5.00   4.65  9.61  0.09
 103.500  30740  19946  9.50  5.00   4.39  9.60  0.10
 103.000  30634  19734  9.50  5.00   5.65  9.61  0.09
 102.500  30532  19549  9.50  5.00   5.35  9.60  0.11
 102.000  30425  19344  9.50  5.00   5.68  9.59  0.23
 101.500  30318  19152  9.50  5.00   6.72  9.60  0.16
 101.000  30211  19018  9.50  5.00   5.10  9.59  0.19
 100.500  30096  18868  9.50  5.00   6.01  9.60  0.18
 100.000  29983  18712  9.50  5.00   5.36  9.60  0.13
  99.500  29861  18582  9.50  5.00   4.99  9.59  0.24
  99.000  29734  18416  9.50  5.00   5.40  9.60  0.13
  98.500  29610  18232  9.50  5.00   4.54  9.59  0.28
  98.000  29470  17934  9.50  5.00   6.61  9.59  0.28
  97.500  29336  17626  9.50  5.00   6.98  9.59  0.22
  97.000  29188  17339  9.50  5.00   7.75  9.60  0.13
  96.500  29051  17096  9.50  5.00   9.62  9.60  0.15
  96.000  28903  16780  9.50  5.00   9.39  9.59  0.24
  95.500  28738  16437  9.50  5.00  11.83  9.59  0.27
  95.000  28585  16049  9.50  5.00  12.14  9.60  0.18
  94.500  28422  15710  9.50  5.00  12.07  9.59  0.23
  94.000  28245  15253  9.50  5.00  15.37  9.59  0.25
  94.000  28245  25918  9.50  5.00  15.37  9.59  0.25
  93.500  28085  25642  9.50  5.00  13.80  9.59  0.22
