# h128.osc
# $Id: h128.tab,v 1.2 2012/03/18 01:59:22 control Exp $
#
# modified 3/17/2012 at Cedar Flat to try to cure bad spots
#  at 229.3, 232.5, 239.8, 246.1; tweaking backshort was
#  critical to get osc to lock, but not sure we still have
#  enough LO pwr to get good noise temps - rp
#
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
  91.800  32733  27668   9.50  5.00		*
  91.500  32685  27420   9.50  5.00 	*
  91.000  32580  24740   9.50  5.00		*
  90.000  32340  24489   9.50  5.00		*
  89.000  32139  25951   9.50  5.00		*
  88.000  31888  25517   9.50  5.00		*
  87.000  31655  23441   9.50  5.00		*
  86.000  31323  21498   9.50  5.00		*
  85.000  30992  21405   9.50  5.00		*
  85.000  30992  31990   9.50  5.00		*
  84.000  30638  29224   9.50  5.00		*
  83.000  30305  28226   9.50  5.00     
  82.000  29976  24988   9.50  5.00  changed at CF 3/17/12
  81.000  29504  25755   9.50  5.00		
  80.000  28930  22926   9.50  5.00  mmbck pos critical!
  79.933  29045  22684   9.50  5.00  added at CF 3/17/12
  79.000  28399  21919   9.50  5.00
  78.000  27731  21583   9.50  5.00
  77.500  27651  21419   9.50  5.00  added at CF 3/17/12
# 77.470  27400  19300   9.50  5.00  added at HC
  77.467  27509  19844   9.50  5.00  added at CF 3/17/12
  77.333  27385  19600   9.50  5.00	 added at HC
  77.000  27135  19816   9.50  5.00
  76.400  26927  18427   9.50  5.00  added at CF 3/17/12
  76.000  26381  18414   9.50  5.00		*
  76.000  26381  31225   9.50  5.00		*
  75.666  26217  31000   9.50  5.00  added at CF 3/17/12
  75.367  26046  30503   9.50  5.00  added at CF 3/17/12
  75.333  26042  30531   9.50  5.00  added at CF 3/17/12
  75.167  25888  30824   9.50  5.00  added at CF 3/17/12
  75.000  25573  30808   9.50  5.00
  74.000  24950  30740   9.50  5.00
  73.000  24171  30500   9.50  5.00
  72.000  23390  30251   9.50  5.00		*
# 72.000  23368  25331   9.50  5.00		*
# 71.900  23324  25151	 9.50  5.00
# 71.900  23324  25151	 9.50  5.00
  71.500  23035  27000   9.50  5.00
  71.200  22665  26000   9.50  5.00
  71.000  22448  25912   9.50  5.00
  70.900  22128  25915   9.50  5.00
  70.800  21880  25922   9.50  5.00
  70.700  21480  25961   9.50  5.00
