# $Id: hT1.tab,v 1.1 2006/11/30 12:17:45 colby Exp $
#
# special file for unit testing
#
#  freq   mmosc  mmbck    vop   lgain   pwr(mV)   errv
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
  79.000  29573  24001   9.50  5.50    255.65   0.22
  78.900  29547  24405   9.50  5.50    254.87  -0.04
  78.800  29502  24325   9.50  5.50    259.30   0.10
  78.700  29462  24207   9.50  5.50    259.46   0.40
  78.600  29425  24040   9.50  5.50    252.88  -0.13
  78.500  29386  23560   9.50  5.50    242.94   0.60
  78.400  29357  23164   9.50  5.50    241.85   0.72
  78.300  29321  22799   9.50  5.50    245.12   0.87
  78.200  29290  22521   9.50  5.50    246.11   0.41
  78.100  29265  22184   9.50  5.50    247.56   0.88
  78.000  29242  21882   9.50  5.50    248.54   0.83
  77.900  29225  21662   9.50  5.50    244.85   1.74
  77.800  29203  21566   9.50  5.50    244.97   1.86
  77.700  29170  21590   9.50  5.50    246.98   1.41
  77.600  29139  21615   9.50  5.50    245.35   0.64
  77.500  29098  22185   9.50  5.50    243.47   0.01
  77.400  29046  22122   9.50  5.50    244.60  -0.15
  77.300  29005  21725   9.50  5.50    240.92   0.30
  77.200  28967  21339   9.50  5.50    233.50  -0.16
  77.100  28922  20920   9.50  5.50    231.45   0.00
  77.000  28895  20606   9.50  5.50    234.82  -0.13
  76.900  28861  20438   9.50  5.50    238.84   0.14
  76.800  28823  20269   9.50  5.50    239.30   0.15
  76.700  28788  20296   9.50  5.50    234.94  -0.15
  76.600  28753  20122   9.50  5.50    231.37   0.04
  76.500  28706  19775   9.50  5.50    229.38   0.39
  76.400  28677  19592   9.50  5.50    228.47   0.51
  76.300  28656  19136   9.50  5.50    225.80   1.04
  76.200  28619  19024   9.50  5.50    229.31   0.64
  76.100  28585  18963   9.50  5.50    227.68   0.20
  76.000  28539  18824   9.50  5.50    224.80   0.12
# -- discontinuity in mmbck -- #
  76.000  28539  32224   9.50  5.50    224.80   0.12
  75.900  28509  32178   9.50  5.50    220.71   0.38
  75.800  28453  32097   9.50  5.50    222.99   0.23
  75.700  28411  31795   9.50  5.50    230.76   0.50
  75.600  28373  31695   9.50  5.50    231.54   0.18
  75.500  28321  31528   9.50  5.50    226.29   0.12
  75.400  28291  31275   9.50  5.50    225.65   0.09
  75.300  28247  31128   9.50  5.50    230.30   0.55
  75.200  28204  31016   9.50  5.50    233.48  -0.09
  75.100  28162  30910   9.50  5.50    234.31   0.29
  75.000  28116  30905   9.50  5.50    237.32   0.99
  74.900  28079  30909   9.50  5.50    242.62   0.20
  74.800  28012  30867   9.50  5.50    248.46   0.52
  74.700  27959  30607   9.50  5.50    249.51   0.25
  74.600  27921  30428   9.50  5.50    251.62  -0.05
  74.500  27864  30273   9.50  5.50    253.76   0.12
  74.400  27823  30054   9.50  5.50    254.87   0.40
  74.300  27779  29923   9.50  5.50    262.52   0.39
  74.200  27723  29874   9.50  5.50    265.58   0.29
  74.100  27680  29710   9.50  5.50    263.73   0.07
  74.000  27648  29576   9.50  5.50    267.15   0.46
  73.900  27600  29521   9.50  5.50    271.50   0.32
  73.800  27558  29413   9.50  5.50    274.34   0.27
  73.700  27512  29320   9.50  5.50    276.95   0.51
  73.600  27468  29305   9.50  5.50    277.67   0.28
  73.500  27394  29276   9.50  5.50    285.15   0.12
  73.400  27357  29162   9.50  5.50    278.83   0.53
  73.300  27302  28994   9.50  5.50    274.44  -0.38
  73.200  27255  28868   9.50  5.50    276.45   0.38
  73.100  27204  28824   9.50  5.50    278.09   0.47
  73.000  27154  28702   9.50  5.50    277.48   0.04
  72.900  27086  28660   9.50  5.50    269.31   0.32
  72.800  27020  28498   9.50  5.50    262.59   0.32
  72.700  26978  28383   9.50  5.50    257.80   0.29
  72.600  26916  28184   9.50  5.50    256.67   0.38
  72.500  26890  28116   9.50  5.50    249.75   0.93
  72.400  26856  28090   9.50  5.50    258.11   0.17
  72.300  26807  28054   9.50  5.50    264.84  -0.29
  72.200  26761  27990   9.50  5.50    259.32   0.53
  72.100  26662  27912   9.50  5.50    250.58   0.29
  72.000  26609  27795   9.50  5.50    239.59  -0.11
  71.900  26569  27712   9.50  5.50    240.84   0.26
  71.800  26517  27609   9.50  5.50    238.99   0.45
  71.700  26466  27535   9.50  5.50    242.06   0.49
  71.600  26391  27477   9.50  5.50    250.79   0.13
  71.500  26330  27411   9.50  5.50    248.69   0.26
  71.400  26292  27336   9.50  5.50    238.78   0.47
  71.300  26208  27242   9.50  5.50    231.65   0.45
  71.200  26150  27156   9.50  5.50    226.10   0.50
  71.100  26084  27088   9.50  5.50    229.59   0.34
  71.000  26017  27047   9.50  5.50    227.45   0.18
  70.900  25960  26968   9.50  5.50    223.35  -0.06
  70.800  25896  26845   9.50  5.50    217.58   0.14
  70.700  25821  26783   9.50  5.50    215.44   0.29
  70.600  25765  26712   9.50  5.50    210.17   0.05
  70.500  25688  26628   9.50  5.50    207.61   0.30
  70.400  25629  26582   9.50  5.50    207.14   0.23
  70.300  25566  26502   9.50  5.50    203.53   0.26
  70.200  25501  26448   9.50  5.50    198.43  -0.14
  70.100  25449  26325   9.50  5.50    194.10   0.54
  70.000  25384  26304   9.50  5.50    192.75   0.28
  69.900  25311  26197   9.50  5.50    194.95   0.14
  69.800  25268  26182   9.50  5.50    194.51   0.43
  69.700  25174  26103   9.50  5.50    195.63   0.53
  69.600  25097  26032   9.50  5.50    193.34  -0.05
  69.500  25006  25982   9.50  5.50    191.78   0.42
  69.400  24938  25912   9.50  5.50    186.84   0.45
  69.300  24853  25859   9.50  5.50    181.16   0.03
  69.200  24774  25732   9.50  5.50    176.79   0.29
  69.100  24717  25682   9.50  5.50    177.85   0.43
  69.000  24650  25620   9.50  5.50    179.47   0.17
  68.900  24588  25578   9.50  5.50    176.90  -0.03
  68.800  24525  25493   9.50  5.50    173.69   0.54
  68.700  24435  25434   9.50  5.50    173.35   0.23
  68.600  24327  25391   9.50  5.50    171.39   0.35
  68.500  24269  25346   9.50  5.50    158.65   0.06
  68.400  24204  25225   9.50  5.50    154.36   0.74
  68.300  24143  25141   9.50  5.50    158.17   1.03
  68.200  24090  25113   9.50  5.50    157.28   1.24
  68.100  24017  25083   9.50  5.50    161.99   1.13
  68.000  23925  25123   9.50  5.50    167.58  -0.12
  67.900  23829  25167   9.50  5.50    170.31   0.45
  67.800  23741  25106   9.50  5.50    167.06   0.21
  67.700  23629  25047   9.50  5.50    165.62   0.29
  67.600  23572  25002   9.50  5.50    159.89   0.27
  67.500  23473  24916   9.50  5.50    160.34   0.34
  67.400  23401  24888   9.50  5.50    156.64   0.42
  67.300  23288  24949   9.50  5.50    155.56   0.25
  67.200  23194  24812   9.50  5.50    145.55   0.46
  67.100  23100  24848   9.50  5.50    143.41   0.19
  67.000  23010  24698   9.50  5.50    140.72  -0.04
  66.900  22953  24607   9.50  5.50    140.16   1.03
  66.800  22905  24420   9.50  5.50    138.17   1.93
  66.700  22819  24472   9.50  5.50    138.63   1.50
  66.600  22772  24622   9.50  5.50    132.80   0.61
  66.500  22691  25278   9.50  5.50    128.50   0.40
  66.400  22571  27887   9.50  5.50    136.07   0.18
  66.300  22437  29586   9.50  5.50    133.97   0.88
# -- discontinuity in mmbck -- #
  66.300  22465  18307   9.50  5.50    143.33  -0.29
  66.200  22350  19299   9.50  5.50    146.74  -0.31
  66.100  22205  20628   9.50  5.50    148.22   1.15
  66.000  22095  20960   9.50  5.50    149.44   0.30
  65.900  21982  21194   9.50  5.50    142.07   1.02
  65.800  21912  21143   9.50  5.50    139.13   0.11
  65.700  21826  21213   9.50  5.50    135.82   1.04
  65.600  21765  21084   9.50  5.50    126.52  -0.29
  65.500  21731  20591   9.50  5.50    113.28   0.10
  65.400  21667  20949   9.50  5.50     91.99   0.26
  65.300  21612  21083   9.50  5.50     68.90   0.05
  65.200  21511  21566   9.50  5.50     51.05   0.28
  65.100  21439  21700   9.50  5.50     37.24   0.34
