# h141.osc
# this is a preliminary data set done without modulator; there are
#	some `holes' where phaselock is bad
# tested 13nov97 with pac mm products detector #50
# 06jan99 rp - all loop gains increased by 0.5
# $Id: h141.tab,v 1.1 2005/04/07 22:14:59 colby Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
  83.800  30537  28720   9.50   5.40    0.08340    9.50  -0.02
  83.700  30517  28591   9.50   5.40    0.08273    9.49   0.01
  83.600  30495  28457   9.50   5.40    0.08228    9.48   0.17
  83.500  30470  28327   9.50   5.40    0.08094    9.48   0.14
  83.400  30451  28197   9.50   5.40    0.07891    9.49   0.03
  83.300  30419  28061   9.50   5.40    0.07973    9.47   0.23
  83.200  30380  27930   9.50   5.40    0.08289    9.47   0.26
  83.100  30339  27796   9.50   5.40    0.08562    9.47   0.24
  83.000  30306  27670   9.50   5.40    0.08751    9.47   0.28
  82.900  30284  27565   9.50   5.40    0.08661    9.47   0.27
# 82.800  osc unlocked
  82.700  30254  27356   9.50   5.40    0.07838    9.48   0.20
  82.600  30231  27245   9.50   5.40    0.07621    9.49   0.05
  82.500  30201  27148   9.50   5.40    0.07589    9.49   0.06
  82.400  30159  27094   9.50   5.40    0.07840    9.48   0.16
  82.300  30114  27040   9.50   5.40    0.08319    9.48   0.18
  82.200  30063  26983   9.50   5.40    0.08658    9.49   0.02
  82.100  30027  26935   9.50   5.40    0.08513    9.49  -0.02
# 82.000  osc unlocked
  81.900  30015  26755   9.50   5.40    0.07590    9.49   0.08
  81.800  29995  26617   9.50   5.40    0.07562    9.48   0.20
  81.700  29965  26491   9.50   5.40    0.07491    9.47   0.24
  81.600  29925  26359   9.50   5.40    0.07435    9.49   0.06
  81.500  29874  26229   9.50   5.40    0.07511    9.47   0.26
  81.400  29810  26151   9.50   5.40    0.07978    9.48   0.16
  81.300  29767  26067   9.50   5.40    0.08182    9.48   0.17
# 81.200  osc unlocked
# 81.100  osc unlocked
  81.000  29748  25835   9.50   5.40    0.07324    9.48   0.13
  80.900  29718  25699   9.50   5.40    0.07396    9.47   0.25
  80.800  29666  25573   9.50   5.40    0.07741    9.47   0.25
  80.700  29606  25435   9.50   5.40    0.08080    9.49   0.09
  80.600  29555  25312   9.50   5.40    0.08230    9.49   0.07
  80.500  29512  25177   9.50   5.40    0.08344    9.47   0.24
  80.400  29456  25124   9.50   5.40    0.08550    9.47   0.20
# 80.300  osc unlocked
  80.200  29448  25021   9.50   5.40    0.07895    9.47   0.25
  80.100  29434  24969   9.50   5.40    0.07846    9.48   0.17
  80.000  29403  24910   9.50   5.40    0.07818    9.48   0.14
  79.900  29353  24783   9.50   5.40    0.07917    9.47   0.26
  79.800  29297  24649   9.50   5.40    0.08230    9.49   0.08
  79.700  29226  24519   9.50   5.40    0.08438    9.47   0.23
  79.600  29164  24388   9.50   5.40    0.08595    9.48   0.10
  79.500  29129  24264   9.50   5.40    0.08549    9.47   0.23
  79.400  29113  23778   9.50   5.40    0.08381    9.46   0.35
  79.300  29111  23291   9.50   5.40    0.07514    9.40   0.97
  79.200  29098  23946   9.50   5.40    0.07830    9.48   0.10
  79.100  29059  23840   9.50   5.40    0.08161    9.48   0.16
  79.000  29002  23729   9.50   5.40    0.08452    9.48   0.16
  78.900  28958  23632   9.50   5.40    0.08442    9.46   0.28
  78.800  28895  23525   9.50   5.40    0.08449    9.48   0.14
  78.700  28821  23420   9.50   5.40    0.08528    9.47   0.19
# 78.600  osc unlocked
  78.500  28776  23208   9.50   5.40    0.08397    9.47   0.26
# 78.400  osc unlocked
  78.300  28735  23002   9.50   5.40    0.08084    9.49   0.09
  78.200  28684  22896   9.50   5.40    0.08226    9.47   0.27
  78.100  28606  22794   9.50   5.40    0.08815    9.47   0.27
  78.000  28533  22687   9.50   5.40    0.09183    9.48   0.08
  77.900  28484  22551   9.50   5.40    0.09309    9.48   0.11
  77.800  28428  22423   9.50   5.40    0.09539    9.48   0.14
# 77.700  osc unlocked
  77.600  28375  22158   9.50   5.40    0.09171    9.48   0.14
  77.500  28320  22031   9.50   5.40    0.09568    9.48   0.15
  77.400  28262  21902   9.50   5.40    0.09655    9.49   0.06
  77.300  28230  21766   9.50   5.40    0.09244    9.48   0.12
  77.200  28178  21637   9.50   5.40    0.09449    9.47   0.17
  77.100  28104  21503   9.50   5.40    0.09740    9.47   0.19
  77.000  28057  21372   9.50   5.40    0.09703    9.48   0.12
  76.900  27993  21186   9.50   5.40    0.09610    9.47   0.20
  76.800  27914  21003   9.50   5.40    0.09924    9.48   0.12
  76.700  27878  20822   9.50   5.40    0.09514    9.47   0.21
  76.600  27849  20638   9.50   5.40    0.09698    9.47   0.26
  76.500  27776  20451   9.50   5.40    0.09858    9.48   0.11
  76.400  27730  20297   9.50   5.40    0.09817    9.47   0.18
  76.300  27676  20139   9.50   5.40    0.09674    9.48   0.16
  76.200  27605  19979   9.50   5.40    0.09705    9.48   0.15
  76.100  27540  19827   9.50   5.40    0.09726    9.47   0.17
  76.000  27477  19670   9.50   5.40    0.09501    9.47   0.21
  75.900  27396  19565   9.50   5.40    0.09708    9.47   0.19
  75.800  27321  19455   9.50   5.40    0.09870    9.47   0.23
  75.700  27294  19355   9.50   5.40    0.09719    9.47   0.24
  75.600  27253  19250   9.50   5.40    0.09499    9.47   0.26
  75.500  27219  19140   9.50   5.40    0.09161    9.47   0.18
  75.400  27154  18958   9.50   5.40    0.09270    9.47   0.25
  75.300  27061  18781   9.50   5.40    0.09638    9.47   0.17
  75.200  26966  18596   9.50   5.40    0.09828    9.46   0.28
  75.100  26886  18412   9.50   5.40    0.09993    9.47   0.21
  75.000  26814  18224   9.50   5.40    0.10111    9.48   0.14
# 74.900  osc unlocked
  74.800  26730  17963   9.50   5.40    0.09810    9.47   0.22
  74.700  26654  17832   9.50   5.40    0.09891    9.47   0.25
  74.600  26604  17700   9.50   5.40    0.09591    9.46   0.29
  74.500  26536  17569   9.50   5.40    0.09386    9.47   0.21
  74.400  26449  17461   9.50   5.40    0.09521    9.48   0.12
  74.300  26383  17356   9.50   5.40    0.09608    9.46   0.27
  74.200  26302  17256   9.50   5.40    0.09770    9.47   0.17
  74.100  26217  17151   9.50   5.40    0.09892    9.46   0.26
# 74.000  osc unlocked
  73.900  26132  16916   9.50   5.40    0.09015    9.47   0.24
  73.800  26067  16782   9.50   5.40    0.08611    9.46   0.27
  73.700  26008  16649   9.50   5.40    0.08210    9.47   0.21
  73.600  25907  16520   9.50   5.40    0.08309    9.48   0.14
  73.500  25791  16389   9.50   5.40    0.08771    9.47   0.23
  73.400  25716  16281   9.50   5.40    0.08793    9.47   0.20
  73.300  25650  16182   9.50   5.40    0.08531    9.47   0.20
  73.200  25574  16076   9.50   5.40    0.08286    9.47   0.15
  73.100  25518  15967   9.50   5.40    0.07614    9.47   0.15
  73.000  25439  15862   9.50   5.40    0.07478    9.47   0.24
  72.900  25358  15807   9.50   5.38    0.07171    9.46   0.27
  72.800  25296  15761   9.50   5.36    0.06429    9.47   0.23
  72.700  25173  15704   9.50   5.34    0.06436    9.46   0.25
  72.600  25040  15655   9.50   5.32    0.06982    9.47   0.21
  72.500  24968  15600   9.50   5.30    0.06885    9.46   0.24
  72.400  24903  15497   9.50   5.29    0.06605    9.48   0.13
  72.300  24834  15391   9.50   5.28    0.05971    9.46   0.25
  72.200  24752  15293   9.50   5.27    0.05449    9.47   0.14
  72.100  24633  15185   9.50   5.26    0.05448    9.47   0.23
  72.000  24513  15076   9.50   5.25    0.05531    9.48   0.11
  71.900  24440  15185   9.50   5.24    0.05168    9.47   0.14
  71.800  24348  15285   9.50   5.23    0.04919    9.48   0.13
  71.700  24254  15392   9.50   5.22    0.04659    9.46   0.24
  71.600  24145  15494   9.50   5.21    0.04468    9.47   0.13
  71.500  24036  15603   9.50   5.20    0.04501    9.46   0.24
  71.400  23976  15997   9.50   5.19    0.04081    9.47   0.17
  71.300  23899  16387   9.50   5.18    0.03548    9.47   0.18
  71.200  23811  16776   9.50   5.17    0.03044    9.47   0.20
  71.100  23714  17174   9.50   5.16    0.02471    9.47   0.22
  71.000  23588  17569   9.50   5.15    0.02522    9.47   0.20
  70.900  23467  18481   9.50   5.14    0.02634    9.47   0.18
  70.800  23366  19392   9.50   5.13    0.02594    9.47   0.14
#  70.700  23270  20327   9.50   5.12    0.02532    9.50  -0.11
