# h138.osc
# tested 5 may 95
# fixed atten #2, Pac MM Prod det #50, bolted directly to
#	LO plate w/g atten; atten=5000; modulator = +300
# 23sep97 - changed all loop gains by +0.3
# 08sep05 - Commented out measured power, vop, mmerrv
#
# $Id: h138.tab,v 1.3 2005/09/22 00:59:49 colby Exp $
#
#| lo    | osctarg | oscbcktarg | vop | lgain |
#| r     | i       | i          | r   | r     |
 100.000  30273      28130       9.50   5.30 #   0.00887    9.49   0.18
  99.800  30216      28050       9.50   5.30 #   0.01366    9.49   0.16
  99.600  30170      27971       9.50   5.30 #   0.01902    9.50   0.08
  99.400  30123      27892       9.50   5.30 #   0.02161    9.49   0.15
  99.200  30082      27813       9.50   5.30 #   0.02407    9.48   0.24
  99.000  30025      27734       9.50   5.30 #   0.02843    9.49   0.22
  98.800  29971      27654       9.50   5.30 #   0.03494    9.49   0.14
  98.600  29925      27575       9.50   5.30 #   0.04173    9.49   0.16
  98.400  29881      27496       9.50   5.30 #   0.04518    9.50   0.10
  98.200  29837      27417       9.50   5.30 #   0.04573    9.50   0.15
  98.000  29785      27339       9.50   5.30 #   0.04739    9.49   0.23
  97.800  29717      27286       9.50   5.30 #   0.05149    9.50   0.09
  97.600  29677      27233       9.50   5.30 #   0.05725    9.49   0.24
  97.400  29635      27180       9.50   5.30 #   0.06364    9.49   0.24
  97.000  29540      27075       9.50   5.30 #   0.06632    9.50   0.14
  96.800  29484      27022       9.50   5.30 #   0.06939    9.50   0.13
  96.600  29422      26969       9.50   5.30 #   0.07607    9.50   0.18
  96.400  29349      26916       9.50   5.30 #   0.08821    9.50   0.12
  96.200  29309      26864       9.50   5.30 #   0.09614    9.50   0.16
  96.000  29260      26812       9.50   5.30 #   0.09650    9.49   0.23
  95.800  29208      26680       9.50   5.30 #   0.09742    9.49   0.20
  95.600  29141      26548       9.50   5.30 #   0.09944    9.50   0.14
  95.400  29076      26416       9.50   5.30 #   0.10569    9.49   0.21
  95.200  29009      26284       9.50   5.30 #   0.11446    9.50   0.19
  95.000  28955      26153       9.50   5.30 #   0.11792    9.49   0.24
  94.800  28900      26021       9.50   5.30 #   0.11821    9.49   0.28
  94.600  28843      25889       9.50   5.30 #   0.11953    9.49   0.26
  94.400  28782      25757       9.50   5.30 #   0.12343    9.49   0.20
  94.200  28714      25625       9.50   5.30 #   0.13129    9.49   0.16
  94.000  28648      25494       9.50   5.30 #   0.13945    9.48   0.27
  93.800  28581      25257       9.50   5.30 #   0.14639    9.48   0.23
  93.600  28525      25019       9.50   5.30 #   0.14830    9.49   0.16
  93.400  28459      24782       9.50   5.30 #   0.14470    9.49   0.19
  93.200  28378      24545       9.50   5.30 #   0.14669    9.50   0.15
  93.000  28302      24308       9.50   5.30 #   0.15222    9.49   0.19
  92.800  28224      24071       9.50   5.30 #   0.16111    9.49   0.20
  92.600  28158      23834       9.50   5.30 #   0.16976    9.49   0.21
  92.400  28098      23597       9.50   5.30 #   0.16654    9.48   0.27
  92.200  28030      23360       9.50   5.30 #   0.16619    9.48   0.27
  92.000  27944      23123       9.50   5.30 #   0.17083    9.49   0.19
  91.800  27866      22833       9.50   5.30 #   0.17611    9.49   0.20
  91.600  27787      22543       9.50   5.30 #   0.18247    9.49   0.21
  91.400  27726      22253       9.50   5.30 #   0.18269    9.49   0.25
  91.200  27651      21963       9.50   5.30 #   0.18147    9.48   0.28
  91.000  27570      21673       9.50   5.30 #   0.18360    9.49   0.26
  90.800  27480      21383       9.50   5.20 #   0.18819    9.49   0.25
  90.600  27395      21093       9.50   5.20 #   0.19546    9.49   0.22
