# $Id: h100.tab,v 1.1 2005/04/07 22:14:59 colby Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain1 | dunno1 | dunno2 | dunno3|
#| r      | i    | i    | r   | r    | r         | r    | r |
  96.000  28560  26521  9.50  5.00   0.13236     9.44  -0.22
  95.800  28502  26403  9.50  5.00   0.14359     9.54   0.21
  95.600  28433  26284  9.50  5.00   0.14897     9.54   0.23
  95.400  28378  26166  9.50  5.00   0.15562     9.54   0.19
  95.200  28306  26048  9.50  5.00   0.16170     9.54   0.24
  95.000  28250  25930  9.50  5.00   0.16728     9.54   0.18
  94.800  28186  25812  9.50  5.00   0.17162     9.54   0.18
  94.600  28128  25694  9.50  5.00   0.17657     9.54   0.18
  94.400  28068  25576  9.50  5.00   0.18083     9.54   0.20
  94.200  28004  25458  9.50  5.00   0.18423     9.54   0.24
  94.000  27930  25340  9.50  5.00   0.19003     9.55   0.14
  93.800  27868  25208  9.50  5.00   0.19413     9.54   0.23
  93.600  27795  25077  9.50  5.00   0.20081     9.55   0.15
  93.400  27734  24946  9.50  5.00   0.20208     9.53   0.26
  93.200  27661  24815  9.50  5.00   0.20758     9.55   0.14
  93.000  27605  24683  9.50  5.00   0.20838     9.55   0.14
  92.800  27548  24552  9.50  5.00   0.20849     9.54   0.20
  92.600  27491  24421  9.50  5.00   0.20905     9.54   0.17
  92.400  27418  24289  9.50  5.00   0.21044     9.54   0.20
  92.200  27354  24158  9.50  5.00   0.21027     9.55   0.13
  92.000  27281  24027  9.50  5.00   0.20088     9.44  -0.25
  91.800  27216  23922  9.50  5.00   0.20995     9.53   0.25
  91.600  27152  23817  9.50  5.00   0.20604     9.54   0.21
  91.400  27076  23712  9.50  5.00   0.20499     9.54   0.18
  91.200  27016  23607  9.50  5.00   0.18911     9.54   0.16
  91.000  26945  23502  9.50  5.00   0.19119     9.54   0.18
  90.800  26884  23397  9.50  5.00   0.17936     9.54   0.24
  90.600  26801  23292  9.50  5.00   0.18194     9.54   0.21
  90.400  26731  23187  9.50  5.00   0.17240     9.54   0.22
  90.200  26652  23083  9.50  5.00   0.17117     9.54   0.17
  90.000  26577  22978  9.50  5.00   0.16116     9.54   0.26
  89.800  26491  22794  9.50  5.00   0.16500     9.54   0.18
  89.600  26405  22610  9.50  5.00   0.16038     9.54   0.18
  89.400  26332  22426  9.50  5.00   0.15119     9.54   0.17
  89.200  26241  22243  9.50  5.00   0.15367     9.54   0.19
  89.000  26168  22059  9.50  5.00   0.14060     9.54   0.17
  88.800  26072  21823  9.50  5.00   0.14507     9.54   0.26
  88.600  25991  21587  9.50  5.00   0.13797     9.55   0.15
  88.400  25894  21350  9.50  5.00   0.14434     9.54   0.22
  88.200  25810  21114  9.50  5.00   0.13859     9.54   0.24
  88.000  25705  20878  9.50  5.00   0.14807     9.54   0.28
  88.000  25705  28095  9.50  5.00   0.14807     9.54   0.28
  87.800  25501  27964  9.50  5.00   0.24078     9.54   0.23
  87.600  25396  27832  9.50  5.00   0.24290     9.54   0.21
  87.400  25311  27701  9.50  5.00   0.24122     9.54   0.26
  87.200  25199  27570  9.50  5.00   0.24218     9.54   0.23
  87.000  25114  27439  9.50  5.00   0.23770     9.55   0.23
  86.800  24977  27072  9.50  5.00   0.24103     9.54   0.24
  86.600  24884  26704  9.50  5.00   0.23589     9.55   0.23
  86.400  24757  26337  9.50  5.00   0.22167     9.55   0.18
  86.200  24680  25970  9.50  5.00   0.20323     9.55   0.21
  86.000  24589  25602  9.50  5.00   0.16622     9.55   0.23
  85.800  24492  25523  9.50  5.00   0.15990     9.55   0.19
  85.600  24395  25444  9.50  5.00   0.15418     9.55   0.22
  85.400  24298  25365  9.50  5.00   0.14090     9.55   0.18
  85.200  24190  25286  9.50  5.00   0.13883     9.55   0.23
  85.000  24097  25208  9.50  5.00   0.12413     9.55   0.24
  84.800  24006  25050  9.50  5.00   0.11207     9.55   0.20
  84.600  23906  24893  9.50  5.00   0.09031     9.56   0.14
  84.400  23810  24736  9.50  5.00   0.08128     9.55   0.19
  84.200  23711  24578  9.50  5.00   0.05828     9.56   0.15
  84.000  23616  24421  9.50  5.00   0.04875     9.55   0.15
  83.800  23509  24342  9.50  5.00   0.04002     9.55   0.13
  83.600  23408  24263  9.50  5.00   0.03244     9.55   0.13
  83.400  23301  24184  9.50  5.00   0.02672     9.54   0.25
  83.200  23190  24105  9.50  5.00   0.01809     9.55   0.18
  83.000  23080  24027  9.50  5.00   0.01484     9.55   0.17
  83.000  23080  28751  9.50  5.00   0.01484     9.55   0.17
  82.800  22955  28620  9.50  5.00   0.07946     9.54   0.27
  82.600  22841  28488  9.50  5.00   0.06838     9.54   0.25
  82.400  22730  28357  9.50  5.00   0.05334     9.54   0.26
  82.201  22622  28226  9.50  5.00   0.03377     9.54   0.26
  82.001  22514  28095  9.50  5.00   0.01790     9.54   0.22
  81.801  22404  28068  9.50  5.00   0.00579     9.54   0.24
  81.601  22293  28042  9.50  5.00   0.00057     9.53   0.26
  81.401  22176  28016  9.50  5.00   0.00189     9.53   0.23
  81.201  22061  27990  9.50  5.00   0.00850     9.53   0.24
  81.001  21934  27964  9.50  5.00   0.01955     9.53   0.23
  80.801  21809  27911  9.50  5.00   0.03003     9.54   0.21
  80.601  21682  27859  9.50  5.00   0.04241     9.53   0.23
  80.401  21561  27780  9.50  5.00   0.04896     9.52   0.31
  80.201  21434  27675  9.50  5.00   0.05767     9.53   0.27
  80.001  21314  27570  9.50  5.00   0.06278     9.48   0.79
  79.801  21178  27360  9.50  5.00   0.05983     9.53   0.27
  79.601  21060  27151  9.50  5.00   0.06596     9.54   0.19
  79.401  20942  26967  9.50  5.00   0.05851     9.54   0.19
  79.201  20819  26810  9.50  5.00   0.06753     9.53   0.23
  79.001  20691  26652  9.50  5.00   0.06481     9.53   0.25
  78.801  20572  26494  9.50  5.00   0.06462     9.54   0.16
  78.601  20462  26337  9.50  5.00   0.08797     9.53   0.27
  78.401  20348  26127  9.50  4.94   0.08202     9.54   0.21
  78.201  20224  25865  9.50  4.82   0.08161     9.54   0.23
  78.001  20105  25602  9.50  4.70   0.07290     9.54   0.22
  77.801  19985  25392  9.50  4.70   0.07092     9.53   0.27
  77.601  19852  25182  9.50  4.70   0.07087     9.54   0.16
  77.401  19731  24972  9.50  4.70   0.06805     9.54   0.27
  77.201  19617  24762  9.50  4.70   0.06388     9.55   0.14
  77.001  19499  24552  9.50  4.70   0.06874     9.54   0.26
  76.801  19377  24342  9.50  4.66   0.05443     9.54   0.24
  76.601  19265  24132  9.50  4.62   0.06337     9.54   0.24
  76.401  19141  23974  9.50  4.60   0.05525     9.55   0.19
  76.201  19007  23870  9.50  4.60   0.05188     9.54   0.28
  76.000  18850  23763  9.50  4.60   0.05486     9.54   0.23
  75.800  18729  23555  9.50  4.60   0.04666     9.55   0.20
  75.600  18609  23345  9.50  4.60   0.04630     9.56   0.13
  75.400  18475  23187  9.50  4.60   0.04947     9.55   0.21
  75.200  18380  23082  9.00  4.60   0.02558     9.06   0.12
  75.000  18352  22500  9.00  4.60   0.03289     9.05   0.16
  74.800  18214  22400  9.00  4.60   0.02521     9.05   0.23
  74.600  18067  22300  9.00  4.60   0.02388     9.05   0.22
  74.400  17898  22200  9.00  4.60   0.02581     9.06   0.15
  74.200  17736  22100  9.00  4.60   0.02123     9.06   0.17
# added 16nov01 as emergency measure
  74.150  18020  24000  9.00  4.60
#
  74.000  17586  22000  9.00  4.60   0.01991     9.05   0.25
  73.800  17403  21850  9.50  4.60   0.03319     9.55   0.15
  73.600  17284  21700  9.50  4.60   0.02831     9.56   0.09
  73.400  17169  21450  9.50  4.60   0.02584     9.56  -0.01
  73.200  17054  21150  9.50  4.60   0.02582     9.55   0.08
  73.000  16944  20900  9.50  4.60   0.02180     9.55   0.13
  72.800  16807  20700  9.50  4.60   0.02089     9.55   0.12
  72.800  16807  21400  9.50  4.60   0.02089     9.55   0.12
  72.600  16829  21100  9.50  4.70   0.05463     9.56   0.09
  72.400  16717  20900  9.50  4.70   0.05097     9.54   0.24
  72.200  16597  20800  9.50  4.70   0.04543     9.55   0.09
  72.000  16463  20500  9.50  4.70   0.05771     9.56   0.03
  72.000  16463  29300  9.50  4.70   0.05771     9.56   0.03
  71.800  16349  29200  9.50  4.60   0.03465     9.55   0.13
  71.600  16228  29100  9.50  4.60   0.02966     9.55   0.17
