# IERS table with UT1-UTC and polar motion
# $Id: IERS.tab,v 1.191 2015/03/06 16:16:53 control Exp $
# This table was automatically generated, roughly as follows:
#   wget ftp://maia.usno.navy.mil/ser7/ser7.dat
#   $CARMA/scripts/mk-iers.awk ser7.dat > IERS.tab
# or:
#   curl ftp://maia.usno.navy.mil/ser7/ser7.dat | $CARMA/scripts/mk-iers.awk > IERS.tab
# and placed in $CARMA/conf/catalogs
# This should be updated regularly, in A array weekly
#
# Note that MJD = JD - 2400000.5
#
# UTC (MJD)  UT1-UTC (s)  xpolCalendar (UTC)
#| mjd      |  dut1   | xpolar | ypolar |  calendar    |
#|  r       |   r     |   r    |   r    |     s        |
#| mjd      |   sec   | arcsec | arcsec |  yyyy-Mmm-dd |
#end
57179.00000  -0.65014   0.1216   0.4466   2015-Jun-06
57180.00000  -0.65071   0.1234   0.4465   2015-Jun-07
57181.00000  -0.65140   0.1253   0.4463   2015-Jun-08
57182.00000  -0.65220   0.1272   0.4461   2015-Jun-09
57183.00000  -0.65307   0.1290   0.4459   2015-Jun-10
57184.00000  -0.65396   0.1309   0.4456   2015-Jun-11
57185.00000  -0.65480   0.1327   0.4453   2015-Jun-12
57186.00000  -0.65552   0.1346   0.4450   2015-Jun-13
57187.00000  -0.65608   0.1364   0.4446   2015-Jun-14
57188.00000  -0.65649   0.1383   0.4443   2015-Jun-15
57189.00000  -0.65675   0.1401   0.4439   2015-Jun-16
57190.00000  -0.65692   0.1419   0.4435   2015-Jun-17
57191.00000  -0.65704   0.1437   0.4430   2015-Jun-18
57192.00000  -0.65715   0.1456   0.4425   2015-Jun-19
57193.00000  -0.65728   0.1474   0.4420   2015-Jun-20
57194.00000  -0.65745   0.1492   0.4415   2015-Jun-21
57195.00000  -0.65769   0.1509   0.4409   2015-Jun-22
57196.00000  -0.65795   0.1527   0.4403   2015-Jun-23
57197.00000  -0.65824   0.1545   0.4397   2015-Jun-24
57198.00000  -0.65853   0.1563   0.4391   2015-Jun-25
57199.00000  -0.65879   0.1580   0.4384   2015-Jun-26
57200.00000  -0.65901   0.1597   0.4377   2015-Jun-27
57201.00000  -0.65917   0.1615   0.4370   2015-Jun-28
57202.00000  -0.65927   0.1632   0.4362   2015-Jun-29
57203.00000  -0.65931   0.1649   0.4355   2015-Jun-30
57204.00000  0.34069   0.1666   0.4347   2015-Jul-01
57205.00000  0.34067   0.1683   0.4338   2015-Jul-02
57206.00000  0.34059   0.1699   0.4330   2015-Jul-03
57207.00000  0.34040   0.1716   0.4321   2015-Jul-04
57208.00000  0.34007   0.1732   0.4312   2015-Jul-05
57209.00000  0.33960   0.1748   0.4303   2015-Jul-06
57210.00000  0.33905   0.1764   0.4293   2015-Jul-07
57211.00000  0.33847   0.1780   0.4284   2015-Jul-08
57212.00000  0.33794   0.1796   0.4274   2015-Jul-09
57213.00000  0.33751   0.1811   0.4264   2015-Jul-10
57214.00000  0.33722   0.1826   0.4253   2015-Jul-11
57215.00000  0.33708   0.1842   0.4242   2015-Jul-12
57216.00000  0.33707   0.1857   0.4232   2015-Jul-13
57217.00000  0.33716   0.1871   0.4220   2015-Jul-14
57218.00000  0.33730   0.1886   0.4209   2015-Jul-15
57219.00000  0.33743   0.1900   0.4197   2015-Jul-16
57220.00000  0.33753   0.1914   0.4186   2015-Jul-17
57221.00000  0.33758   0.1928   0.4174   2015-Jul-18
57222.00000  0.33757   0.1942   0.4161   2015-Jul-19
57223.00000  0.33751   0.1955   0.4149   2015-Jul-20
57224.00000  0.33740   0.1969   0.4136   2015-Jul-21
57225.00000  0.33728   0.1982   0.4123   2015-Jul-22
57226.00000  0.33716   0.1995   0.4110   2015-Jul-23
57227.00000  0.33706   0.2007   0.4097   2015-Jul-24
57228.00000  0.33701   0.2019   0.4084   2015-Jul-25
57229.00000  0.33700   0.2032   0.4070   2015-Jul-26
57230.00000  0.33704   0.2043   0.4056   2015-Jul-27
