# 54-25.tab
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
#
210.    3.00    8.6    120.     -.5  .5
210.    5.00    8.1    120.     -.5  .5
#
270.    3.00    8.6    120.     -.5  .5
270.    5.00    8.1    120.     -.5  .5
