# 54-37.tab
#
#|loGHz |t    |v     |i    |dvm  |dvp  |
#|r     |r    |r     |r    |r    |r    |
#
210.    3.50    9.0    120.     -.5  .5
210.    5.00    8.5    120.     -.5  .5
#
270.    3.50    9.0   120.     -.5  .5
270.    5.00    8.5   120.     -.5  .5

# --- new-style tuning parameters (indicated by T=0) ---
# derived from 978L

 0.00    0.00   11.16  190.    -.8  +.8
 210.    0.00    9.3   110.    -.8  +.8
 242.    0.00    8.7   110.    -.8  +.8
 270.    0.00    9.4   110.    -.8  +.8
