0.000  1.000
0.010  0.998
0.020  0.992
0.030  0.983
0.040  0.969
0.050  0.952
0.060  0.932
0.070  0.908
0.080  0.882
0.090  0.853
0.100  0.822
0.110  0.788
0.120  0.753
0.130  0.717
0.140  0.680
0.150  0.642
0.160  0.604
0.170  0.566
0.180  0.529
0.190  0.491
0.200  0.455
0.210  0.420
0.220  0.386
0.230  0.353
0.240  0.322
0.250  0.292
0.260  0.264
0.270  0.238
0.280  0.214
0.290  0.191
0.300  0.170
0.310  0.151
0.320  0.134
0.330  0.118
0.340  0.103
0.350  0.090
0.360  0.078
0.370  0.068
0.380  0.059
0.390  0.051
0.400  0.043
0.410  0.037
0.420  0.032
0.430  0.027
0.440  0.023
0.450  0.019
0.460  0.016
0.470  0.014
0.480  0.011
0.490  0.010
0.500  0.008
0.510  0.007
0.520  0.006
0.530  0.005
0.540  0.004
0.550  0.003
0.560  0.003
0.570  0.002
0.580  0.002
0.590  0.002
0.600  0.001
0.610  0.001
0.620  0.001
0.630  0.001
0.640  0.001
0.650  0.001
0.660  0.001
0.670  0.001
0.680  0.001
0.690  0.001
0.700  0.001
0.710  0.001
0.720  0.001
0.730  0.001
0.740  0.001
0.750  0.001
0.760  0.001
0.770  0.001
0.780  0.001
0.790  0.001
0.800  0.001
0.810  0.000
0.820  0.000
0.830  0.000
0.840  0.000
0.850  0.000
0.860  0.000
0.870  0.000
0.880  0.000
0.890  0.000
0.900  0.000
0.910  0.000
0.920  0.000
0.930  0.000
0.940  0.000
0.950  0.000
0.960  0.000
0.970  0.000
0.980  0.000
0.990  0.000
